iter	Passed	Remaining
404	6622	9729
405	6637	9711
406	6653	9694
407	6667	9674
408	6681	9653
409	6693	9631
410	6712	9619
411	6728	9603
412	6742	9582
413	6754	9561
414	6770	9544
415	6783	9523
416	6806	9515
417	6820	9496
418	6836	9479
419	6854	9465
420	6870	9448
421	6886	9431
422	6902	9415
423	6922	9404
424	6938	9387
425	6954	9370
426	6966	9347
427	6977	9325
428	6994	9309
429	7004	9284
430	7024	9274
431	7037	9253
432	7057	9241
433	7071	9222
434	7085	9202
435	7099	9183
436	7116	9168
437	7133	9152
438	7145	9131
439	7157	9110
440	7169	9087
441	7182	9067
442	7199	9052
443	7213	9032
444	7231	9019
445	7242	8996
446	7256	8977
447	7266	8953
448	7279	8932
449	7295	8916
450	7310	8899
451	7324	8880
452	7343	8867
453	7358	8849
454	7371	8829
455	7385	8811
456	7397	8789
457	7412	8771
458	7422	8748
459	7438	8732
460	7452	8713
461	7482	8712
462	7496	8694
463	7524	8692
464	7539	8674
465	7553	8656
466	7571	8641
467	7583	8620
468	7595	8599
469	7608	8579
470	7622	8560
471	7637	8544
472	7655	8529
473	7668	8509
474	7680	8488
475	7690	8465
476	7703	8446
477	7720	8431
478	7731	8408
479	7747	8393
480	7760	8373
481	7775	8355
482	7787	8336
483	7802	8318
484	7816	8299
485	7831	8282
486	7844	8262
487	7856	8242
488	7869	8223
489	7887	8209
490	7903	8193
491	7917	8174
492	7930	8155
493	7944	8137
494	7961	8122
495	7974	8103
496	7989	8085
497	8001	8065
498	8012	8044
499	8030	8030
500	8048	8015
501	8063	7999
502	8080	7983
503	8096	7968
504	8110	7950
505	8122	7929
506	8140	7915
507	8150	7893
508	8164	7875
509	8179	7858
510	8193	7840
511	8211	7826
512	8224	7807
513	8237	7788
514	8247	7766
515	8266	7753
516	8281	7736
517	8295	7718
518	8311	7702
519	8329	7688
520	8343	7670
521	8357	7652
522	8369	7633
523	8385	7617
524	8397	7597
525	8411	7580
526	8425	7562
527	8436	7541
528	8452	7526
529	8465	7507
530	8485	7494
531	8498	7476
532	8514	7460
533	8529	7443
534	8540	7423
535	8554	7405
536	8571	7390
537	8591	7377
538	8616	7369
539	8632	7353
540	8649	7338
541	8664	7322
542	8680	7306
543	8698	7291
544	8714	7275
545	8729	7258
546	8743	7241
547	8757	7223
548	8769	7204
549	8785	7188
550	8796	7168
551	8814	7154
552	8826	7134
553	8842	7118
554	8854	7099
555	8867	7080
556	8885	7066
557	8897	7048
558	8915	7033
559	8928	7014
560	8940	6996
561	8952	6977
562	8966	6959
563	8981	6943
564	8997	6927
565	9014	6912
566	9029	6895
567	9047	6881
568	9067	6867
569	9080	6850
570	9098	6835
571	9112	6818
572	9128	6802
573	9139	6783
574	9152	6765
575	9167	6748
576	9180	6730
577	9191	6710
578	9208	6695
579	9220	6677
580	9235	6660
581	9245	6640
582	9259	6623
583	9276	6608
584	9289	6589
585	9310	6577
586	9325	6561
587	9338	6543
588	9349	6523
589	9361	6505
590	9378	6490
591	9391	6472
592	9408	6457
593	9421	6439
594	9436	6423
595	9453	6407
596	9467	6390
597	9483	6375
598	9505	6363
599	9522	6348
600	9533	6329
601	9544	6310
602	9562	6295
603	9573	6276
604	9591	6262
605	9609	6247
606	9625	6232
607	9638	6214
608	9653	6197
609	9666	6180
610	9678	6162
611	9696	6147
612	9713	6132
613	9727	6115
614	9737	6096
615	9751	6079
616	9765	6061
617	9775	6042
618	9796	6029
619	9811	6013
620	9823	5995
621	9836	5977
622	9855	5964
623	9866	5945
624	9877	5926
625	9891	5909
626	9904	5891
627	9920	5876
628	9931	5857
629	9946	5841
630	9958	5823
631	9970	5805
632	9984	5788
633	9997	5771
634	10016	5757
635	10031	5741
